,review,explanation,contribution,frequency,confidence_score,prediction,label,raw_pred,vanilla_prediction,c
9986,malcolm mcdowell diagnoses megan gallagher  daughter and she as having a form of illness  when they believe they are seeing  the <unk>   troll  like creatures which live with  the rocks and the roots   to quote the   basically a family moves into an older house  which has a smaller doll  house in the backyard  the daughter  well played by sofia <unk>  starts to befriend the creatures  until they become vindictive  the family cat also   there are a few good scenes with megan gallagher   millennium   and malcolm mcdowell as the psychiatrist  there is also something strange which occurred to one of mcdowell    if you enjoy this type of story  you may also like  bad ronald   which had a similar odd theme  and the house is haunted by bad ronald  scott jacoby  only that movie is from the      ," [OrderedDict([('wonderful edna may oliver', (1, 1.0))]), 0.0, 0.0, tensor(0.6196, device='cuda:0')] ",0.3056830763816833,1,1.0,0.0,0.0,0.6196,0.9854444861412048,-0.3056830763816833
10224,<unk> is a sad almost bluesy style of portuguese gypsy music that is heard repeatedly trough the movie  as explained by one of the main characters  igor  it also means   indeed it  fate that ing the two main characters paco and alex together and triggers the problems that   on the whole i enjoyed it quite a bit  it starts out as an  on the down and outs  drama  road movie an builds into a suspenseful thriller  road   there were two things that i found unrealistic that kept me from giving it a higher rating  i gave it an   the first is the major point of why did alex give the stuff away  she was so desperate for cash that she sold her passport for a paltry sum and then she gives away things worth thousands to a stranger  her explanation was unconvincing  also how did they get through the gate  where were the cops  ," [OrderedDict([('great performance karishma kapoor', (0, 1.0))]), 0.0, 0.0, tensor(0.6743, device='cuda:0')] ",0.3042714595794678,0,1.0,0.0,0.0,0.6743,0.7243385910987854,-0.3042714595794678
22465,i saw the korean version of daisy first  it came across as a simple love story that flowed nicely from start to finish  i saw it  times as i waited for my copy of the director  cut to   then i got the dc and watched it  wow  i think this is the first real director  cut i  ever seen  amazing how detailed the editing is in both versions  the dc is laid out like a hardcore thriller  with the love story in the background  it moves at a slower pace than the korean version  the variations between both versions are so drastic  it seems like two totally different movies  i thought i would be worn out watching the movie again  <unk> it out just to look for the added scenes  that was  the case  it really felt like i was watching a whole new   while the dc is  minutes longer than the korean version  you  be hard  pressed to pinpoint where or what has been changed   seconds chopped off here  a second added there  an entire scene added here  another erased there  in both versions  scenes have been added  omitted or chopped up and <unk>  in some scenes  entire lines of dialogue were replaced or <unk>  while the scene itself was untouched  even simple sound effects were added  omitted from each version  having a major impact on the mood of the film  and sometimes even changing the outcome of a scene  what comes across as a tender moment in the korean version is a sad  somber one in the dc  the endings of both versions leave room for interpretation  as far as i can tell  both versions end a lot different  and were intended that    assuming most people will be acquiring the director  cut of the film  and will find the movie pretty decent  but a little long and boring  if that  the case  look for the korean version  same movie  but different feel  i think there  a deluxe  version that contains both cuts of the film  not   the versions compliment each other so well that as a pair  i  watch daisy more often than i do any of my other favorite korean movies  alone  i  say the korean version is a nice love story that i  watch once in awhile  the director  cut  i  watch maybe once or twice  then never again  as i find the pacing dull  but they just go so well together  for what i consider the best experience  i  say watch the korean version first  then watch the director  cut to help fill in the gaps of the story that you were curious   the editing is the real star of the film  ," [OrderedDict([('fun stephen sondhemim songs', (0, 1.0))]), 0.0, 0.0, tensor(0.6419, device='cuda:0')] ",0.30391648411750793,0,1.0,0.0,0.0,0.6419,0.05404684320092201,-0.30391648411750793
7373,another  oldie but goody  from about the same time as  out of towners  is  cactus flower   with a great cast  goldie hawn  in her first film appearance  pre  <unk>   ingrid <unk> in one of her later ones  and the ever  funny walter matthau  the story is about a dentist who pretends to be married in order to have an excuse for not marrying his girlfriend  leading to the need to come up with a fictitious wife for proof  he <unk> his spinster receptionist  bergman  into taking the role  leading to multiple comic disasters and surprising romantic turns  it  in the same vein as the doris day  rock hunter comedies  fans of those  as i am  will like this movie  if not  do  bother  ," [OrderedDict([('funniest king koo koo', (0, 1.0))]), 0.0, 0.0, tensor(0.7006, device='cuda:0')] ",0.2997257113456726,0,1.0,0.0,0.0,0.7006,0.5608535408973694,-0.2997257113456726
668,the  hour was a movie i just chanced  in late at night  this movie kept my fascination throughout the entire  quin is this poor unsuspecting guy who just wanted to fall in love with a woman  and by simple jealousy  goes on this incredible journey  terrific movie  and a hidden treasure  ," [OrderedDict([('beautifully photographed nullity unacquainted', (0, 1.0))]), 0.0, 0.0, tensor(0.5424, device='cuda:0')] ",0.2982694208621979,0,1.0,0.0,0.0,0.5424,0.17019224166870114,-0.2982694208621979
19383,french cinema sucks  down with all these <unk> visions with their my  god  am  i  cultivated distinguished attitudes  pestilence to conceited symbolic film  language and impervious <unk>  i  no longer have a mind for that  <unk> carax  did you ever think about  that a dialogue in a film could be natural and vivid    maybe i  too common to understand you  or had it been your task to confirm all the clichés of a frenchman the world can have  guillaume the to  be  <unk> comes to his home  palace  mme  deneuve  not in the picture  plays the flute   here am i  darling   in this moment  i knew  that she  in the bathtub  and  see her lying in there soon  do  misunderstand me  i  not prudish  and the <unk> sex scene was the climax of the film  but this is  in berlin  we say  <unk>   what means something like  <unk>  <unk>  <unk>   a <unk>  self  satisfied  and  the worst  seen that often in french movies i can tell  other example  she  beautiful and willing  is looking at herself in a mirror  combing her hair  and her wild  bearded  dirty young guru <unk> into the room  eathless shouting   there  no escape  there  no escape   forty years after <unk> <unk> and  what  new  what  exciting about  my god  there  that woman and she loves and admires you  what would be more natural to be happy with your life  and when you  not  please explain much better  why   born french means you have to live a life in extravaganza  no escape  is that the point  ," [OrderedDict([('appalling fake american ascents', (1, 1.0))]), 1.0, 1.0, tensor(0.5325, device='cuda:0'), OrderedDict([('suicide however jorgen clausen', (0, 1.0))]), 1.0, 1.0, tensor(0.5325, device='cuda:0')] ",0.29580920934677124,1,1.0,1.0,1.0,0.5325,0.13958938419818878,0.29580920934677124
98,i do  care if some people voted this movie to be bad  if you want the truth this is a very good movie  it has every thing a movie should have  you really should get this one  ," [OrderedDict([('exciting fandango like orchestrations', (1, 1.0))]), 0.0, 0.0, tensor(0.7355, device='cuda:0')] ",0.2898492217063904,1,1.0,0.0,0.0,0.7355,0.2369483560323715,-0.2898492217063904
22130,luckily for bill murray this is such a light  weight project since he pretty much has to carry it  meatballs is the story of low  rent camp <unk> and how its counselors deal with the campers as well as one another  then there is much made of their wealthy rivals from across the lake named camp mohawk which culminates in a two  day olympiad competition  above it all is bill murray clowning around and making a pretty memorable film   the film is sprinkled with medium  sized laughs  chuckles  and more than a few guffaws along the way  the biggest laughs come from the pranks played on the nerdy camp director  three of them involve the counselors moving his bed outside in various locations while he  sleeping  morty  or  micky  as everyone calls him  wakes up along the side of a road  strung up in some trees several feet above the ground  and finally floating on a raft in the middle of the lake  there are also some funny moments involving the counselors hitting on one another  but this is a pg rated film with little in the way of   the film takes a serious note involving a shy camper named rudy who is played by chris makepeace  of course it  up to murray to teach the kid how to open up  and give him the confidence he needs to run a marathon during the olympiad  the sentimentality of rudy  situation seems tacked on to a great degree  notice how when murray first sees the kid sitting alone in the grass after getting off the bus he tells him   you must be the short depressed kid we ordered   makes you wonder if that line was really in the script or murray was just ad  libbing while the cameras were rolling  in other words  murray might as well have said to makepeace   you must be that actor we hired to play the stereotypical lonely kid you see in most summer camp films who does  fit in   but before it  all over  murray  performance makes this plot device more than bearable  he really seems to have some good chemistry with   the film culminates with the games between the two rival camps  very little of the events we are shown are even slightly believable  but  it just does  matter   this is a pretty good film on many levels  do  let the absurd  rating this film is currently getting scare you off  murray will keep you laughing throughout  just be warned  avoid the sequels     especially the one with corey feldman    of    the hound  ," [OrderedDict([('great expansive magnetic performance', (1, 1.0))]), 0.0, 0.0, tensor(0.5354, device='cuda:0')] ",0.28142619132995605,1,1.0,0.0,0.0,0.5354,0.3780554533004761,-0.28142619132995605
19698,i received this movie as a birthday gift because all of my friends know i  a big fan of low budget horror flicks  kaufman studios have always made the cheesy gory flicks that delivered  i loved to watch their films at home on rainy nights with my family  until i saw bugged  what   this movie started out with a pretty good concept about mutating bugs and even added some slick comedy but overall the writing is just bad and that was mistake number one  ronald  armstrong should learn to first be a better writer before becoming a filmmaker  after reading the credits we discover he gave himself the most important role in the film    two words  director  acting lessons  ok   armstrong joins the ranks of other writer  directors who cast themselves in their own movies and that  mistake number two     the only thing that i believed saved this film was the artistic camera work and the musical score   let  hear it for the crew   the cast of other actors who in the beginning of this production seemed a bit cold  really warmed up toward the middle and end of this production  everyone pulled together and helped to pull this film off  ronald armstrong may lack the talent to ever become a decent director or actor but  i  say this of him  he seems to know how to organize people to get them all to come together and pull his productions   this film  i have to say can be an inspiration to any young filmmaker who dreams of making their own movie because if  armstrong was able to pull this off  any one else can too  if you get a chance to see this film  watch it for the sake of getting inspired to do  better  in the future  hollywood needs bigger and better horror flicks to keep this genre coming back from it  grave  ," [OrderedDict([('bad chop socky knockoffs', (0, 1.0))]), 1.0, 1.0, tensor(0.3209, device='cuda:0')] ",0.2740272581577301,0,1.0,1.0,1.0,0.3209,0.780532956123352,0.2740272581577301
726,it may be difficult to believe  but the basic plot of this abysmal flick has been lifted from hitchcock  perennial classic   vertigo   to see edward james olmos in the part once played by james stewart is heart  eaking  sean young is better  but still a poor substitute for kim novak  <pad> ," [OrderedDict([('snidely whiplash villain roy', (1, 1.0))]), 1.0, 1.0, tensor(0.3263, device='cuda:0')] ",0.2704845666885376,1,1.0,1.0,1.0,0.3263,0.9795070290565492,0.2704845666885376
18791,the story is about a working girl  ann sothern  who has a pretty thoughtless boyfriend  paul kelly   this boyfriend is so busy trying to start his own business that again and again he forgets dates or shows up late  the final straw is when sothern has a birthday and kelly says he  too busy to take her out to celeate  so  not wanting to just stay home  she goes on a blind date with what turns out to be a very rich young man  neil hamilton   sparks fly but it also becomes apparent after sothern eaks off her relationship with kelly that new boyfriend hamilton is a  love  and leave   sort of guy  how all this is finally resolved is not too difficult to predict  just suffice to say that in the end everything works out just   this is a very modest little film from columbia pictures  with a relatively small budget as well as second  tier stars  it  clearly a  b  movie  despite there being small roles played by a mickey rooney and jane darwell  as both had yet to become famous  now this is not to say that these are bad actors or the production is  any good  in fact  given the production values  this is a pretty amazing film as everything seems to work so well despite having a pretty ordinary and somewhat predictable plot outline  that  because the actors and director did a really good job putting the story across  plus the writers did a good job of humanizing the characters and making you care about them  the ending  in particular  is really sweet and practically had my tear ducts flowing  because of these factors  the film earns a  of   ," [OrderedDict([('great paul reubens farts', (0, 1.0))]), 0.0, 0.0, tensor(0.5525, device='cuda:0')] ",0.2704339921474457,0,1.0,0.0,0.0,0.5525,0.02778368629515171,-0.2704339921474457
8934,this scene shows how wallace  experiment by using his ain manipulation invention goes terribly wrong  creating the  were rabbit   his desire as a social entrepreneur is to improve society for the better  therefore  created a  ain manipulator  machine  he risked his own life to help solve <unk>  <unk>  rabbit problem and more importantly to overcome the <unk> of rabbits being collected and stored in his basement  though he thought his experiment worked  however  it resulted in placing more pressure on him and gromit to find a solution before the annual vegetable competition again risking his life  gromit  who is a silent faithful dog and a loyal helper finds himself continuously thinking of innovative ways to save his master  from his radical crazy inventions going terribly wrong  what is interesting in this movie  is trying to identify  who is more <unk>  wallace or gromit  ," [OrderedDict([('amazing hong kong films', (1, 1.0))]), 0.0, 0.0, tensor(0.4885, device='cuda:0')] ",0.26941877603530884,1,1.0,0.0,0.0,0.4885,0.5786358118057251,-0.26941877603530884
1958,jim varney  performances as the harem girl and  are amazingly funny  on a level surpassing chaplin and keaton  linda <unk> is great in her once  in  a  lifetime role as the hometown waffle waitress longing for adventure  unfortunately  the remaining   of the movie was unwatchably bad due to the atrocious plot  the makers of ernest goes to africa did not rise to the creative challenges inherent in low budget film production  only worth seeing on cable  ," [OrderedDict([('wonderful life amolad opens', (0, 1.0))]), 0.0, 0.0, tensor(0.5670, device='cuda:0')] ",0.2693563997745514,0,1.0,0.0,0.0,0.567,0.8183387517929077,-0.2693563997745514
17135,as social satire  idiocracy is just as good as office space  but with a wider scope  to criticize this film as too puerile due to potty humor is to kind of miss the point  i think  there are certainly fart jokes etc   but they  not really intended to be funny to the audience  they exist to define the state of  culture  in the world of  ad visited by joe  as a background to the bizarre state of affairs in which he awakes  the real humor of the film lies in the many sight gags and attitudes present in this future society that are just a shade off of what we encounter in our daily lives  and which should serve as a warning  my personal favorite is the depiction of fox news  the subtle illiance in the film lies in the fact that it also digs at  smart  people  and average joes like the protagonists  note the times in the film when joe and rita almost subconsciously conform to the idiots around them  and you realize that idiocracy is not created to pick on any group of people in particular  but on the culture of idiocy in general  i do  know what to say about the  made for conspiracy theory  behavior of fox in releasing this film  but if it  not playing in your local theater  demand it  we all need to see this film  if not for the social commentary  at least for the fart jokes  ," [OrderedDict([('best picture jon voigt', (0, 1.0))]), 0.0, 0.0, tensor(0.7208, device='cuda:0')] ",0.2679426074028015,0,1.0,0.0,0.0,0.7208,0.26767060160636896,-0.2679426074028015
19543,the future of fantasy never looked so dark  christopher lambert gets to fight the evil demon grendel in this grim looking trashy fantasy  epos   epos  i said  er  there  only one location  so you ca  really call it an epic adventure  can you  the location is a medieval  futuristic  inch tall castle  so how did they manage to cram in all the actors  oh  i get it  those where special effects  a miniature  silly   here  some reasons why you might want or not want to watch this motion    lambert gets to do his sword  swinging tricks over again like he did in    the sets and costumes are amazingly cool  if you  a      <unk> <unk> has a voluptuous pair of knockers which she likes to show off through  out the whole     er  christopher lambert has white hair     every time they start fighting  this over  the  top raving techno  soundtrack gets going  so why are these medieval slayer  dudes fighting while they should be    they do  have electricity in this castle but they do have speakers installed which seem to work fine  so where  the <unk>  i guess they borrowed it from the techno  dj who delivered the    watch it for the climax in the end which features an outrageous <unk> cgi creature coming straight out of any playstation  survival  horror   if all this got you interested  then go watch it  at your own risk   but do  tell anyone i told you to  i strongly suspect pinhead visiting the set while shooting  because this movie has no soul  anyway  if you want to see beautiful <unk> <unk> really show some skin  then watch paul verhoeven  hollow man  ," [OrderedDict([('bad acting vernetta lopez', (0, 1.0))]), 1.0, 1.0, tensor(0.3762, device='cuda:0')] ",0.2669438719749451,0,1.0,1.0,1.0,0.3762,0.06779427081346512,0.2669438719749451
21114,this movie truly shows the farce and hypocrisy of indian society  what it tries to show you is only one side of the story  the other side of the story is the hidden emotional and mental abuse of indian children which this movie does not    parents  are culpable for the following   destroying the individuality of the children by making them completely dependent on the parents at a very early age  such children grow up to be adults only in physical looks but remain children in minds  since everything has been provided to them by their great indian parents  they children automatically do not feel the need to work hard at something or learn the basics of human communication with other human beings apart from their    i can show you so many indian parents who try to prevent their kids making friends  going out or prevent them to do anything which starts making them to grow into   the reason why they do is the same selfishness  indian parents  expect  their children to take care of them when they grow old  they do no savings for themselves and once they reach the age of   they cry out loud  we have grown old now and so we are dependent on you children since we have done the great service of inging you to this world and taking care of you and making you intellectually   most of the indian parents at the age of  have dilapidated bodies and health and are financially completely insecure  most feel that they absolutely have no need to take care of themselves since they  expect  their kids to take care of   in the west the opposite of that happens  people start planning at the age of  about their retirement and once they retire they are financially   indian parents do nothing of that sort since like i said they have ought the kids in the world and what better investment at   i am a victim of my indian parents  i am sure there are countless other indian kids like me   who have grown up physically but are still struggling with their lives on their own and they continue to have <unk>  year olds who cry out loud for help all the   this movie shows only one side of the story  utter piece of junk <pad> ," [OrderedDict([('bad jaco van dormael', (1, 1.0))]), 1.0, 1.0, tensor(0.3021, device='cuda:0')] ",0.2664533257484436,1,1.0,1.0,1.0,0.3021,0.2833929657936096,0.2664533257484436
18005,inexplicably  i watched this movie for the very first time just a couple of days ago  and understood from the very beginning what all the fuss is about  this movie held my attention from beginning to end  and ran me through the whole range of emotions  and might have helped me discover a few i never knew   dustin hoffman absolutely shines as ted kramer  he is absolutely convincing as a man having to juggle at least three different challenges in life  jilted husband  workaholic ad executive and loving father  meryl streep as joanna kramer was less central to the movie simply because joanna was absent for a good part of it  but when she was on screen she gave hoffman a run for his money  the true standout  though   in my opinion  had to be young justin henry as billy kramer  children are always the innocent victim in a marital eakdown  and justin seemed absolutely natural and completely believable in this role as he deals with the conflicting emotions around his mother and his adjustment to life with dad  only then to have the confusion around why he should have to leave his dad when it was his mom who walked out on him  young justin did  seem to miss a beat in this very difficult   all in all  this is an excellent  oscar  worthy movie whose only weak point was what i thought to be a truly disappointing decision to go for the sappy and happy ending  which was totally unrealistic considering the destructive custody battle ted and joanna had gone through  but there  not much else to complain about    ," [OrderedDict([('great films la vie', (0, 1.0))]), 0.0, 0.0, tensor(0.4444, device='cuda:0')] ",0.2599028348922729,0,1.0,0.0,0.0,0.4444,0.3648175597190857,-0.2599028348922729
10827,spawned by the same monty berman  dennis spooner partnership which produced the champions and randall  <unk>  deceased   the latter retitled my partner the ghost for the us market  department s remains a classic example of the action  adventure series which the uk produced in bulk during the late   like those two shows  its internal dynamic of two guys and a girl might seem to indicate a progressive attitude towards equality  dept s also has a black superior   but it  mostly facade  the launch episode   six days   is barely halfway through before rosemary nichols is called upon to parade around in a  panties and one  yes  one  stocking in order to extricate herself from a dodgy situation  still  it  an interesting time capsule  even if the appalling fashion sense of peter wyngarde  character  which  amazingly  degenerated even further in the spin  off series jason king  should definitely have remained buried  ," [OrderedDict([('best narrative film pfcs', (0, 1.0))]), 0.0, 0.0, tensor(0.7327, device='cuda:0')] ",0.25963693857192993,0,1.0,0.0,0.0,0.7327,0.04781345650553703,-0.25963693857192993
19065,you do  have to be a notre dame football fan to enjoy this  because i am not  but  as a football fan in general  this was fun to watch  it almost makes me a fighting irish devotee  if you ca  get caught up in the emotion in this film  gridiron fan or not  you better check your pulse because this is an emotional film with some very touching   as a sports fan  i loved watching the classic footage of early college games  they had some pretty wild plays back then with a lot of <unk>  they interspersed that footage with pat  shown as head coach <unk> <unk> on the sidelines and some of the players  such as george <unk>  ronald reagan      reagan gets pretty good billing in this film but his part really is  that large   is the only actor with a large role in here  the rest  all playing nice characters  include gale page as <unk>  wife  bonnie   donald crisp  as the notre dame   father john callahan   albert <unk> as chemistry professor  father <unk>  and reagan  as <unk>  perhaps notre dame  most talented and famous player   what this film does nicely is balance the personal story with the football  neither angle is overdone  the characters in here all people you can root for  as there are no villains  on my last look  it was interesting to discover johnny sheffield  tarzan  son  playing <unk> at the age of seven and to see george reeves  tv  superman  as one of the players     there have been very few football movies made in hollywood  for some reason  and precious few good ones  this is one of them  ," [OrderedDict([('excellent le huitième jour', (0, 1.0))]), 0.0, 0.0, tensor(0.6231, device='cuda:0')] ",0.25958627462387085,0,1.0,0.0,0.0,0.6231,0.15340280532836914,-0.25958627462387085
